        Frequency / GHz                SZmax(1),Zmax(1) (Lx=8)/abs,dB
                  6.2984                        -34.4943
                  6.3133                      -35.169961
                  6.3282                      -35.907557
                  6.3431                       -36.71904
                   6.358                        -37.6202
                  6.3729                      -38.632507
                  6.3878                      -39.786212
                  6.4027                        -41.1259
                  6.4176                      -42.721277
                  6.4325                      -44.690493
                  6.4474                      -47.258958
                  6.4623                      -50.948072
                  6.4772                      -57.535739
                  6.4921                      -72.649165
                   6.507                      -55.238652
                  6.5219                      -49.721126
                  6.5368                      -46.354924
                  6.5517                      -43.922186
                  6.5666                      -42.013794
                  6.5815                      -40.441781
                  6.5964                      -39.104051
                  6.6113                      -37.938926
                  6.6262                       -36.90628
                  6.6411                       -35.97854
                   6.656                      -35.135938
                  6.6709                      -34.363819
                  6.6858                      -33.651019
                  6.7007                      -32.988834
                  6.7156                      -32.370348
                  6.7305                      -31.789975
                  6.7454                      -31.243138
                  6.7603                       -30.72604
                  6.7752                      -30.235494
                  6.7901                      -29.768804
                   6.805                      -29.323664
                  6.8199                      -28.898088
                  6.8348                      -28.490355
                  6.8497                      -28.098962
                  6.8646                      -27.722588
                  6.8795                      -27.360068
                  6.8944                      -27.010369
                  6.9093                      -26.672568
                  6.9242                      -26.345841
                  6.9391                      -26.029447
                   6.954                      -25.722716
                  6.9689                      -25.425044
                  6.9838                       -25.13588
                  6.9987                      -24.854725
                  7.0136                      -24.581122
                  7.0285                      -24.314651
                  7.0434                      -24.054928
                  7.0583                      -23.801601
                  7.0732                      -23.554342
                  7.0881                      -23.312851
                   7.103                      -23.076848
                  7.1179                      -22.846074
                  7.1328                      -22.620289
                  7.1477                      -22.399269
                  7.1626                      -22.182804
                  7.1775                      -21.970699
                  7.1924                      -21.762772
                  7.2073                      -21.558851
                  7.2222                      -21.358775
                  7.2371                      -21.162395
                   7.252                      -20.969567
                  7.2669                      -20.780159
                  7.2818                      -20.594044
                  7.2967                      -20.411104
                  7.3116                      -20.231226
                  7.3265                      -20.054303
                  7.3414                      -19.880235
                  7.3563                      -19.708927
                  7.3712                      -19.540288
                  7.3861                      -19.374233
                   7.401                      -19.210679
                  7.4159                      -19.049549
                  7.4308                      -18.890768
                  7.4457                      -18.734268
                  7.4606                       -18.57998
                  7.4755                       -18.42784
                  7.4904                      -18.277787
                  7.5053                      -18.129763
                  7.5202                      -17.983713
                  7.5351                      -17.839581
                    7.55                      -17.697318
                  7.5649                      -17.556874
                  7.5798                      -17.418202
                  7.5947                      -17.281258
                  7.6096                      -17.145997
                  7.6245                       -17.01238
                  7.6394                      -16.880365
                  7.6543                      -16.749914
                  7.6692                      -16.620991
                  7.6841                       -16.49356
                   7.699                      -16.367587
                  7.7139                       -16.24304
                  7.7288                      -16.119886
                  7.7437                      -15.998095
                  7.7586                      -15.877638
                  7.7735                      -15.758486
                  7.7884                      -15.640612
                  7.8033                       -15.52399
                  7.8182                      -15.408594
                  7.8331                      -15.294399
                   7.848                      -15.181382
                  7.8629                      -15.069519
                  7.8778                      -14.958788
                  7.8927                      -14.849169
                  7.9076                      -14.740639
                  7.9225                      -14.633178
                  7.9374                      -14.526768
                  7.9523                      -14.421389
                  7.9672                      -14.317022
                  7.9821                      -14.213651
                   7.997                      -14.111257
                  8.0119                      -14.009823
                  8.0268                      -13.909335
                  8.0417                      -13.809775
                  8.0566                      -13.711128
                  8.0715                       -13.61338
                  8.0864                      -13.516516
                  8.1013                      -13.420522
                  8.1162                      -13.325385
                  8.1311                       -13.23109
                   8.146                      -13.137625
                  8.1609                      -13.044978
                  8.1758                      -12.953137
                  8.1907                      -12.862088
                  8.2056                      -12.771822
                  8.2205                      -12.682326
                  8.2354                      -12.593589
                  8.2503                      -12.505601
                  8.2652                      -12.418351
                  8.2801                       -12.33183
                   8.295                      -12.246027
                  8.3099                      -12.160932
                  8.3248                      -12.076537
                  8.3397                      -11.992831
                  8.3546                      -11.909806
                  8.3695                      -11.827454
                  8.3844                      -11.745765
                  8.3993                      -11.664731
                  8.4142                      -11.584344
                  8.4291                      -11.504596
                   8.444                       -11.42548
                  8.4589                      -11.346987
                  8.4738                       -11.26911
                  8.4887                      -11.191842
                  8.5036                      -11.115176
                  8.5185                      -11.039105
                  8.5334                      -10.963622
                  8.5483                      -10.888721
                  8.5632                      -10.814394
                  8.5781                      -10.740635
                   8.593                      -10.667439
                  8.6079                      -10.594799
                  8.6228                      -10.522709
                  8.6377                      -10.451163
                  8.6526                      -10.380156
                  8.6675                      -10.309681
                  8.6824                      -10.239734
                  8.6973                      -10.170308
                  8.7122                        -10.1014
                  8.7271                      -10.033002
                   8.742                      -9.9651108
                  8.7569                      -9.8977208
                  8.7718                      -9.8308271
                  8.7867                      -9.7644248
                  8.8016                      -9.6985093
                  8.8165                      -9.6330759
                  8.8314                      -9.5681201
                  8.8463                      -9.5036372
                  8.8612                       -9.439623
                  8.8761                       -9.376073
                   8.891                      -9.3129831
                  8.9059                      -9.2503491
                  8.9208                      -9.1881668
                  8.9357                      -9.1264321
                  8.9506                      -9.0651413
                  8.9655                      -9.0042902
                  8.9804                      -8.9438751
                  8.9953                      -8.8838922
                  9.0102                      -8.8243378
                  9.0251                      -8.7652081
                    9.04                      -8.7064997
                  9.0549                      -8.6482089
                  9.0698                      -8.5903323
                  9.0847                      -8.5328663
                  9.0996                      -8.4758077
                  9.1145                       -8.419153
                  9.1294                      -8.3628991
                  9.1443                      -8.3070425
                  9.1592                      -8.2515802
                  9.1741                       -8.196509
                   9.189                      -8.1418258
                  9.2039                      -8.0875274
                  9.2188                       -8.033611
                  9.2337                      -7.9800734
                  9.2486                      -7.9269118
                  9.2635                      -7.8741233
                  9.2784                       -7.821705
                  9.2933                       -7.769654
                  9.3082                      -7.7179676
                  9.3231                       -7.666643
                   9.338                      -7.6156775
                  9.3529                      -7.5650684
                  9.3678                       -7.514813
                  9.3827                      -7.4649088
                  9.3976                      -7.4153531
                  9.4125                      -7.3661433
                  9.4274                       -7.317277
                  9.4423                      -7.2687516
                  9.4572                      -7.2205647
                  9.4721                      -7.1727137
                   9.487                      -7.1251964
                  9.5019                      -7.0780102
                  9.5168                      -7.0311529
                  9.5317                       -6.984622
                  9.5466                      -6.9384153
                  9.5615                      -6.8925305
                  9.5764                      -6.8469653
                  9.5913                      -6.8017174
                  9.6062                      -6.7567846
                  9.6211                      -6.7121648
                   9.636                      -6.6678557
                  9.6509                      -6.6238552
                  9.6658                      -6.5801611
                  9.6807                      -6.5367714
                  9.6956                      -6.4936839
                  9.7105                      -6.4508965
                  9.7254                      -6.4084072
                  9.7403                       -6.366214
                  9.7552                      -6.3243148
                  9.7701                      -6.2827076
                   9.785                      -6.2413904
                  9.7999                      -6.2003613
                  9.8148                      -6.1596182
                  9.8297                      -6.1191594
                  9.8446                      -6.0789828
                  9.8595                      -6.0390865
                  9.8744                      -5.9994687
                  9.8893                      -5.9601274
                  9.9042                      -5.9210608
                  9.9191                      -5.8822672
                   9.934                      -5.8437445
                  9.9489                      -5.8054911
                  9.9638                      -5.7675051
                  9.9787                      -5.7297847
                  9.9936                      -5.6923282
                 10.0085                      -5.6551337
                 10.0234                      -5.6181997
                 10.0383                      -5.5815242
                 10.0532                      -5.5451056
                 10.0681                      -5.5089421
                  10.083                      -5.4730322
                 10.0979                       -5.437374
                 10.1128                       -5.401966
                 10.1277                      -5.3668063
                 10.1426                      -5.3318935
                 10.1575                      -5.2972259
                 10.1724                      -5.2628017
                 10.1873                      -5.2286195
                 10.2022                      -5.1946776
                 10.2171                      -5.1609744
                  10.232                      -5.1275082
                 10.2469                      -5.0942777
                 10.2618                      -5.0612811
                 10.2767                      -5.0285169
                 10.2916                      -4.9959836
                 10.3065                      -4.9636796
                 10.3214                      -4.9316035
                 10.3363                      -4.8997536
                 10.3512                      -4.8681285
                 10.3661                      -4.8367267
                  10.381                      -4.8055467
                 10.3959                      -4.7745871
                 10.4108                      -4.7438462
                 10.4257                      -4.7133228
                 10.4406                      -4.6830153
                 10.4555                      -4.6529224
                 10.4704                      -4.6230424
                 10.4853                      -4.5933741
                 10.5002                      -4.5639161
                 10.5151                      -4.5346668
                   10.53                       -4.505625
                 10.5449                      -4.4767892
                 10.5598                       -4.448158
                 10.5747                      -4.4197301
                 10.5896                      -4.3915041
                 10.6045                      -4.3634786
                 10.6194                      -4.3356523
                 10.6343                      -4.3080238
                 10.6492                      -4.2805919
                 10.6641                      -4.2533552
                  10.679                      -4.2263123
                 10.6939                      -4.1994619
                 10.7088                      -4.1728028
                 10.7237                      -4.1463337
                 10.7386                      -4.1200532
                 10.7535                      -4.0939602
                 10.7684                      -4.0680532
                 10.7833                      -4.0423311
                 10.7982                      -4.0167925
                 10.8131                      -3.9914364
                  10.828                      -3.9662613
                 10.8429                       -3.941266
                 10.8578                      -3.9164494
                 10.8727                      -3.8918102
                 10.8876                      -3.8673472
                 10.9025                      -3.8430592
                 10.9174                       -3.818945
                 10.9323                      -3.7950033
                 10.9472                      -3.7712331
                 10.9621                      -3.7476331
                  10.977                      -3.7242022
                 10.9919                      -3.7009391
                 11.0068                      -3.6778428
                 11.0217                      -3.6549121
                 11.0366                      -3.6321458
                 11.0515                      -3.6095428
                 11.0664                       -3.587102
                 11.0813                      -3.5648223
                 11.0962                      -3.5427025
                 11.1111                      -3.5207415
                  11.126                      -3.4989382
                 11.1409                      -3.4772916
                 11.1558                      -3.4558005
                 11.1707                      -3.4344638
                 11.1856                      -3.4132806
                 11.2005                      -3.3922496
                 11.2154                      -3.3713699
                 11.2303                      -3.3506403
                 11.2452                      -3.3300599
                 11.2601                      -3.3096276
                  11.275                      -3.2893424
                 11.2899                      -3.2692032
                 11.3048                       -3.249209
                 11.3197                      -3.2293587
                 11.3346                      -3.2096515
                 11.3495                      -3.1900862
                 11.3644                      -3.1706619
                 11.3793                      -3.1513776
                 11.3942                      -3.1322322
                 11.4091                      -3.1132249
                  11.424                      -3.0943547
                 11.4389                      -3.0756205
                 11.4538                      -3.0570214
                 11.4687                      -3.0385565
                 11.4836                      -3.0202248
                 11.4985                      -3.0020253
                 11.5134                      -2.9839573
                 11.5283                      -2.9660196
                 11.5432                      -2.9482114
                 11.5581                      -2.9305318
                  11.573                      -2.9129798
                 11.5879                      -2.8955546
                 11.6028                      -2.8782552
                 11.6177                      -2.8610808
                 11.6326                      -2.8440305
                 11.6475                      -2.8271034
                 11.6624                      -2.8102985
                 11.6773                      -2.7936152
                 11.6922                      -2.7770524
                 11.7071                      -2.7606094
                  11.722                      -2.7442852
                 11.7369                      -2.7280791
                 11.7518                      -2.7119902
                 11.7667                      -2.6960176
                 11.7816                      -2.6801606
                 11.7965                      -2.6644183
                 11.8114                      -2.6487898
