        Frequency / GHz                SZmax(1),Zmax(1) (Lx=8) (Re)/
                  4.0485                    -0.014653726
                  4.0634                    -0.014767546
                  4.0783                    -0.014881872
                  4.0932                    -0.014996707
                  4.1081                     -0.01511205
                   4.123                    -0.015227904
                  4.1379                    -0.015344269
                  4.1528                    -0.015461146
                  4.1677                    -0.015578536
                  4.1826                    -0.015696441
                  4.1975                    -0.015814861
                  4.2124                    -0.015933798
                  4.2273                    -0.016053252
                  4.2422                    -0.016173226
                  4.2571                    -0.016293719
                   4.272                    -0.016414733
                  4.2869                     -0.01653627
                  4.3018                    -0.016658329
                  4.3167                    -0.016780914
                  4.3316                    -0.016904024
                  4.3465                     -0.01702766
                  4.3614                    -0.017151825
                  4.3763                    -0.017276518
                  4.3912                    -0.017401742
                  4.4061                    -0.017527498
                   4.421                    -0.017653785
                  4.4359                    -0.017780607
                  4.4508                    -0.017907964
                  4.4657                    -0.018035857
                  4.4806                    -0.018164287
                  4.4955                    -0.018293256
                  4.5104                    -0.018422764
                  4.5253                    -0.018552814
                  4.5402                    -0.018683406
                  4.5551                    -0.018814541
                    4.57                    -0.018946221
                  4.5849                    -0.019078447
                  4.5998                    -0.019211221
                  4.6147                    -0.019344543
                  4.6296                    -0.019478414
                  4.6445                    -0.019612837
                  4.6594                    -0.019747812
                  4.6743                     -0.01988334
                  4.6892                    -0.020019424
                  4.7041                    -0.020156064
                   4.719                    -0.020293261
                  4.7339                    -0.020431017
                  4.7488                    -0.020569333
                  4.7637                     -0.02070821
                  4.7786                    -0.020847651
                  4.7935                    -0.020987655
                  4.8084                    -0.021128225
                  4.8233                    -0.021269362
                  4.8382                    -0.021411066
                  4.8531                    -0.021553341
                   4.868                    -0.021696186
                  4.8829                    -0.021839604
                  4.8978                    -0.021983595
                  4.9127                    -0.022128161
                  4.9276                    -0.022273304
                  4.9425                    -0.022419024
                  4.9574                    -0.022565324
                  4.9723                    -0.022712205
                  4.9872                    -0.022859667
                  5.0021                    -0.023007713
                   5.017                    -0.023156344
                  5.0319                    -0.023305562
                  5.0468                    -0.023455367
                  5.0617                    -0.023605762
                  5.0766                    -0.023756748
                  5.0915                    -0.023908325
                  5.1064                    -0.024060497
                  5.1213                    -0.024213264
