        Frequency / GHz                SZmax(1),Zmin(1) (Lx=8) (Re)/
                 10.7833                     -0.77830263
                 10.7982                     -0.77673006
                 10.8131                      -0.7751408
                  10.828                     -0.77353508
                 10.8429                     -0.77191313
                 10.8578                     -0.77027515
                 10.8727                     -0.76862138
                 10.8876                     -0.76695204
                 10.9025                     -0.76526733
                 10.9174                      -0.7635675
                 10.9323                     -0.76185275
                 10.9472                      -0.7601233
                 10.9621                     -0.75837937
                  10.977                     -0.75662118
                 10.9919                     -0.75484894
                 11.0068                     -0.75306288
                 11.0217                     -0.75126321
                 11.0366                     -0.74945014
                 11.0515                     -0.74762389
                 11.0664                     -0.74578467
                 11.0813                     -0.74393269
                 11.0962                     -0.74206817
                 11.1111                     -0.74019132
                  11.126                     -0.73830234
                 11.1409                     -0.73640145
                 11.1558                     -0.73448885
                 11.1707                     -0.73256476
                 11.1856                     -0.73062937
                 11.2005                      -0.7286829
                 11.2154                     -0.72672555
                 11.2303                     -0.72475751
                 11.2452                       -0.722779
                 11.2601                     -0.72079022
                  11.275                     -0.71879136
                 11.2899                     -0.71678262
                 11.3048                      -0.7147642
                 11.3197                     -0.71273629
                 11.3346                      -0.7106991
                 11.3495                     -0.70865281
                 11.3644                     -0.70659762
                 11.3793                     -0.70453373
                 11.3942                     -0.70246131
                 11.4091                     -0.70038055
                  11.424                     -0.69829166
                 11.4389                      -0.6961948
                 11.4538                     -0.69409018
                 11.4687                     -0.69197796
                 11.4836                     -0.68985834
                 11.4985                     -0.68773148
                 11.5134                     -0.68559758
                 11.5283                     -0.68345681
                 11.5432                     -0.68130935
                 11.5581                     -0.67915537
                  11.573                     -0.67699504
                 11.5879                     -0.67482855
                 11.6028                     -0.67265605
                 11.6177                     -0.67047771
                 11.6326                     -0.66829371
                 11.6475                     -0.66610422
                 11.6624                     -0.66390939
                 11.6773                     -0.66170939
                 11.6922                     -0.65950438
                 11.7071                     -0.65729452
                  11.722                     -0.65507997
                 11.7369                      -0.6528609
                 11.7518                     -0.65063744
                 11.7667                     -0.64840976
                 11.7816                     -0.64617802
                 11.7965                     -0.64394235
                 11.8114                     -0.64170292
                 11.8263                     -0.63945987
