        Frequency / GHz                SZmin(1),Zmax(1) (Lx=8) (Re)/
                  8.8314                       0.9138065
                  8.8463                      0.91343184
                  8.8612                      0.91305581
                  8.8761                      0.91267842
                   8.891                      0.91229966
                  8.9059                      0.91191953
                  8.9208                      0.91153801
                  8.9357                      0.91115511
                  8.9506                      0.91077081
                  8.9655                      0.91038511
                  8.9804                        0.909998
                  8.9953                      0.90960948
                  9.0102                      0.90921955
                  9.0251                      0.90882819
                    9.04                      0.90843539
                  9.0549                      0.90804116
                  9.0698                      0.90764549
                  9.0847                      0.90724836
                  9.0996                      0.90684978
                  9.1145                      0.90644973
                  9.1294                      0.90604822
                  9.1443                      0.90564522
                  9.1592                      0.90524075
                  9.1741                      0.90483478
                   9.189                      0.90442732
                  9.2039                      0.90401835
                  9.2188                      0.90360787
                  9.2337                      0.90319588
                  9.2486                      0.90278236
                  9.2635                      0.90236731
                  9.2784                      0.90195072
                  9.2933                      0.90153258
                  9.3082                       0.9011129
                  9.3231                      0.90069165
                   9.338                      0.90026884
                  9.3529                      0.89984445
                  9.3678                      0.89941849
                  9.3827                      0.89899093
                  9.3976                      0.89856178
                  9.4125                      0.89813103
                  9.4274                      0.89769866
                  9.4423                      0.89726468
                  9.4572                      0.89682907
                  9.4721                      0.89639184
                   9.487                      0.89595296
                  9.5019                      0.89551243
                  9.5168                      0.89507024
                  9.5317                       0.8946264
                  9.5466                      0.89418088
                  9.5615                      0.89373368
                  9.5764                       0.8932848
                  9.5913                      0.89283422
                  9.6062                      0.89238193
                  9.6211                      0.89192794
                   9.636                      0.89147223
                  9.6509                      0.89101479
                  9.6658                      0.89055562
                  9.6807                       0.8900947
                  9.6956                      0.88963203
                  9.7105                       0.8891676
                  9.7254                      0.88870141
                  9.7403                      0.88823343
                  9.7552                      0.88776368
                  9.7701                      0.88729213
                   9.785                      0.88681877
                  9.7999                      0.88634361
                  9.8148                      0.88586663
                  9.8297                      0.88538782
                  9.8446                      0.88490717
                  9.8595                      0.88442468
                  9.8744                      0.88394033
                  9.8893                      0.88345412
                  9.9042                      0.88296604
                  9.9191                      0.88247608
                   9.934                      0.88198423
                  9.9489                      0.88149048
                  9.9638                      0.88099482
                  9.9787                      0.88049725
                  9.9936                      0.87999775
                 10.0085                      0.87949631
                 10.0234                      0.87899293
                 10.0383                      0.87848759
                 10.0532                      0.87798029
                 10.0681                      0.87747102
                  10.083                      0.87695977
                 10.0979                      0.87644652
                 10.1128                      0.87593127
                 10.1277                      0.87541401
                 10.1426                      0.87489473
                 10.1575                      0.87437342
                 10.1724                      0.87385007
                 10.1873                      0.87332466
                 10.2022                       0.8727972
                 10.2171                      0.87226767
                  10.232                      0.87173606
                 10.2469                      0.87120235
                 10.2618                      0.87066655
                 10.2767                      0.87012864
                 10.2916                       0.8695886
                 10.3065                      0.86904644
                 10.3214                      0.86850213
                 10.3363                      0.86795567
                 10.3512                      0.86740705
                 10.3661                      0.86685626
                  10.381                      0.86630329
                 10.3959                      0.86574812
                 10.4108                      0.86519075
                 10.4257                      0.86463116
                 10.4406                      0.86406935
                 10.4555                       0.8635053
                 10.4704                      0.86293901
                 10.4853                      0.86237046
                 10.5002                      0.86179964
                 10.5151                      0.86122654
                   10.53                      0.86065115
                 10.5449                      0.86007346
                 10.5598                      0.85949346
                 10.5747                      0.85891114
                 10.5896                      0.85832648
                 10.6045                      0.85773947
                 10.6194                      0.85715011
                 10.6343                      0.85655839
                 10.6492                      0.85596428
                 10.6641                      0.85536778
                  10.679                      0.85476888
                 10.6939                      0.85416757
                 10.7088                      0.85356383
                 10.7237                      0.85295765
                 10.7386                      0.85234903
                 10.7535                      0.85173795
                 10.7684                      0.85112439
                 10.7833                      0.85050836
                 10.7982                      0.84988983
                 10.8131                      0.84926879
                  10.828                      0.84864523
                 10.8429                      0.84801915
                 10.8578                      0.84739052
                 10.8727                      0.84675934
                 10.8876                      0.84612559
                 10.9025                      0.84548927
                 10.9174                      0.84485035
                 10.9323                      0.84420884
                 10.9472                      0.84356471
                 10.9621                      0.84291795
                  10.977                      0.84226856
                 10.9919                      0.84161651
                 11.0068                       0.8409618
                 11.0217                      0.84030442
                 11.0366                      0.83964435
                 11.0515                      0.83898158
                 11.0664                       0.8383161
                 11.0813                      0.83764789
                 11.0962                      0.83697695
                 11.1111                      0.83630326
                  11.126                       0.8356268
                 11.1409                      0.83494757
                 11.1558                      0.83426556
                 11.1707                      0.83358074
                 11.1856                      0.83289311
                 11.2005                      0.83220266
                 11.2154                      0.83150937
                 11.2303                      0.83081323
                 11.2452                      0.83011423
                 11.2601                      0.82941235
                  11.275                      0.82870758
                 11.2899                      0.82799991
                 11.3048                      0.82728933
                 11.3197                      0.82657582
                 11.3346                      0.82585937
                 11.3495                      0.82513996
                 11.3644                       0.8244176
                 11.3793                      0.82369225
                 11.3942                      0.82296391
                 11.4091                      0.82223257
